# in-window irreducibles of odd degree over F_{3^11}
# f = T^n + g monic irreducible, deg g <= floor(n/2).
# carrier F3 means g has F_3 coefficients; since 11 is prime and
# 11 does not divide n, such an f stays irreducible over F_{3^11}.
# g is stored as the base-3 digit string of its coefficient vector
# (low degree first; 11 trits per F_{3^11} coefficient), packed
# into one integer and printed in hex.
# n|carrier|tail_base3_hex|tries|seconds
911|F3|0x31d16237b02f060536f790a53289b5ff1c6cd65b29a9d799c4f4fe6d9dd81ba723f75f633a37bc913875c541790fd24e7d3944b282afebecdfc44891f49076b8f9bffdf7b801d53af0d538222d077864c5897f3559d56df97d112|2663|41.3
913|F3^11|0x924c95c1de9701ad99b3efd7efb95f05ece2eb3e7e972e37112ac8a0a8bda53bee639651f1bda77634ccd98c7ffc8c57ac9e3182fae470034d5e527c15dad7d4a4f2ec9c44584551ca430f0cec7480e85615d41aa68804880ff3612f618013ada959ae7a6f0461b7a0393d53b69e7ca3c2124be176985a23906009a9ecb22fbf929a8e1ba066e9fc8676d64e7e6fb35c678dc7939940f595ce68a64975109c1a0a26330f1c9b75cd896b1eac050ed1797f8eeb18e2554a7a4b1848477af09783fb6623273a8f25b04d561d9f51daea8804b9866babf07f6cb040c8acb51fdef67cac84d6b93fdb1e1586ac58be0877dfce1ae463b4c21c6922bdd9f064cd24cec72c89939bbfd50be1130b3edcca459747d94379c3fbd87d12bb8ea605624bb9f2fe243924d1c7ebe72a105946d56614472993f5c772a009e6104487519144f278e97cdd1e0301bd32309365a9b400f7a43f8d745ab6a88f890327b1d21b09fcdd177e275ece7a231e842afd247d2250feb18719ed3919cf38890e0b7b29643b357b3518f82590ab6dac0d5ab9cab97b201e2e179cb5c5ea19202924573a1b84f4733e72082194ec940ea124be7bdc5e3eaf3d639bde4dd1140c21b81c90b9be36728dc787653a7301319d6711cc03e540fdd263028aacbcb581b43be6b23ed455dc4ae4a348f07cfdd47a00899729afa835ad12faab070b64512c2b0006f54fb3368877376cbf402a9658c37311101eeea0b8a235ab8629e5bcf799b1cd390d99819237a15dffe9f89aaa48e3c26b38ceac4663067e6f0fbc8753d4c24b1893734a71904677ee60531a8c9f28e06d65b8166fee4e3e72b8eaeb3ed3587903c68512a8e6803ce72e3c98a288091553c047e73e1734228e99258391dc6449f92e6a7bd37d77d58ded666283c2efbecdb0251ddad794fbec8d6a5c076e45efeb912f388be12abb60de8302a11d32d66bc6fc8dbb08f41cedf9ae581370f30d29094f166c9f2a6b315840c4c53352b35e331c1272a9eaf0da153caab093b935ce35e678f42669d58af20ed719321d384c5145bc23a8ebf6e1b1ba6473d1970bb096582d155aca596ba2437bcca7f0ce6e0e181240338f6597baceee3be7deee452224b2742c14e780048a585a836f4fce0d526fd71b6b86e513996f2f1eeaac8f4312f76361b1e800ab9dc6d3492936559b66e024a179d28dccb5c19ae9358d792c6a0e6e5df13d9fd2d8e687c4951d3793de1450cc475ec8185e559cb854477bf39bee5199c639439a45704d4bceb4d8c21603dc9e8329e5ba434fb4776e710a89adc15240cfda2965bd830fd71f3e8040e79518621a3ac2d90151d4aea6e21e699457d7aae7a78b8db40e8d9dec7f9b9788d82c448f6e70eea5c8c44770c2d90cc4881c1a|332|732.8
915|F3|0x434d304e2d0330547f13e530d295e12e210e78b0c3f180d0db73ab1da198c9484d0b676269bbe78839b52496cf68df883300927971c93d5c733b02aae61c1e0c9ad41a3522b62d9d409e04504e4e409af5318b10c706b1c4890aa|36|0.9
917|F3|0x5a047f1de9eee828ed97e293ffaa6652011b7619dd903de66c094a7f0b893a116896b5014c9534ef611a2e47dc37dd0ff2932733268200fc5d6b7e8237e28fa787de565fb3d9191daa8997586023e3900ebb0568f324e60dc77dc4|450|10.6
919|F3|0xd5d367bd2b7c75d27736c175323f1bbb9ec89b79be7dd9521a8d42a9d2d6a148392f4dbd7028659130562735daafc711d8ec729e3a898a8deb931305cf510747ad25c4944177c4f7f01d9b3e5e12ec059bfc7679995e4f4826ea75|927|17.5
921|F3|0x28ffcda68a18867f3d65f01d032c3ae95597a82f7ec2cc68e0e2ea4672fb4f57f7d312bd560fc39c19d73796ef57bd53ecf4f8fc3970bc0756571c47df6bdd221002814aa8a8ddbc09c35e31e2409375488db31ba5bb58642a5d1f4|138|3.3
923|F3|0x290395a76b6d7f9b626f3c6900889ba9c8a4cd3efb0e36097ad0a3614ed00b9518a216603a223a9542fb826c44431dff9b2bc04c76645c3f5ec287dcab733660a29487d9a82b2a54a731068ae8a9ce9928c3c72db4b1397d0f0a521|881|8.9
925|F3|0x2844a9451db781373cac3e0b53eca46e10c1c4f2c0e8b85718b38c2952ed6984b9e3180efd1ec4034b790646bbba454d990c872d123460b7802eaf3a2214a9c43c4f8d447b1447a98044e4fa06c02246c88563041f95db097ac2f743|303|7.7
927|F3|0x2e6b208a0f411cf3720984fded188b1f31db29ff2161279169e7ee035fe6c14d090751ab2039ad06bbf6d776547c287cb10b1453c874a8affe849faab2c95c5d3fe67c4b82d5547ac004f70770d526c9ef7b484c236c6fd39544f820|1888|31.7
929|F3|0x1095313b7f825ddac1ad9b3331236670e4da37e66c75175a6375538fd05b516a1cef7a231096d9f7a996c991a78d22afaaae99a13429d00779ef498c1f07e4bc4f8c00463f5e24644f24a26cd2c2172b67fc4522156227d78a7164605|492|11.1
